seller_name,seller_sku,daily_sales_sku,sellerboard_date
banbaloo,5Y-8TNB-GV76,539.34,2020-11-21
banbaloo,5Y-8TNB-GV76,662.67,2020-11-22
banbaloo,5Y-8TNB-GV76,722.71,2020-11-23
banbaloo,5Y-8TNB-GV76,666.75,2020-11-24
banbaloo,5Y-8TNB-GV76,432.36,2020-11-25
banbaloo,5Y-8TNB-GV76,464.65,2020-11-26
banbaloo,5Y-8TNB-GV76,741.46,2020-11-27
banbaloo,5Y-8TNB-GV76,555.38,2020-11-28
banbaloo,5Y-8TNB-GV76,310.38,2020-11-29
banbaloo,5Y-8TNB-GV76,556.51,2020-11-30
banbaloo,5Y-8TNB-GV76,339.64,2020-12-01
banbaloo,5Y-8TNB-GV76,706.15,2020-12-02
banbaloo,5Y-8TNB-GV76,401.13,2020-12-03
banbaloo,5Y-8TNB-GV76,434.58,2020-12-04
banbaloo,5Y-8TNB-GV76,463.98,2020-12-05
banbaloo,5Y-8TNB-GV76,734.19,2020-12-06
banbaloo,5Y-8TNB-GV76,619.88,2020-12-07
banbaloo,5Y-8TNB-GV76,741.64,2020-12-08
banbaloo,5Y-8TNB-GV76,726.69,2020-12-09
banbaloo,5Y-8TNB-GV76,613.44,2020-12-10
banbaloo,5Y-8TNB-GV76,320.93,2020-12-11
banbaloo,5Y-8TNB-GV76,708.55,2020-12-12
banbaloo,5Y-8TNB-GV76,486.35,2020-12-13
banbaloo,5Y-8TNB-GV76,487.77,2020-12-14
banbaloo,5Y-8TNB-GV76,543.94,2020-12-15
banbaloo,5Y-8TNB-GV76,587.76,2020-12-16
banbaloo,5Y-8TNB-GV76,489.55,2020-12-17
banbaloo,5Y-8TNB-GV76,356.59,2020-12-18
banbaloo,5Y-8TNB-GV76,554.18,2020-12-19
banbaloo,5Y-8TNB-GV76,678.12,2020-12-20
banbaloo,5Y-8TNB-GV76,196.97,2020-12-21
banbaloo,5Y-8TNB-GV76,520.11,2020-12-22
banbaloo,5Y-8TNB-GV76,162.43,2020-12-23
banbaloo,5Y-8TNB-GV76,290.27,2020-12-24
banbaloo,5Y-8TNB-GV76,326.31,2020-12-25
banbaloo,5Y-8TNB-GV76,552.76,2020-12-26
banbaloo,5Y-8TNB-GV76,520.59,2020-12-27
banbaloo,5Y-8TNB-GV76,1013.66,2020-12-28
banbaloo,5Y-8TNB-GV76,1040.39,2020-12-29
banbaloo,5Y-8TNB-GV76,746.69,2020-12-30
banbaloo,5Y-8TNB-GV76,451.93,2020-12-31
banbaloo,5Y-8TNB-GV76,954.41,2021-01-01
banbaloo,5Y-8TNB-GV76,827.57,2021-01-02
